,lc_n,counter,t0,tE,u0,log10(q1),log10(q2),dis1,dis2,log10(ro_star),mbase,fbW,chi_binary,chi_triple,Delta chi,ndat
0,1,1933,45.71868,37.8034,0.0236,-2.06466,-3.75779,25.59442,0.00595,-2.22625,16.9833,0.9277,4923.02,427390.42,422467.4,5138
1,2,2455,49.40915,7.7625,0.4425,-1.36278,-4.52301,5.27979,6.61749,-2.31666,19.2696,0.6522,1431.55,1555.58,124.03,1475
2,3,2508,35.35915,8.6062,0.066,-4.37107,-3.01917,1.04364,6.22846,-2.92841,19.6625,0.8834,1535.23,538691.33,537156.11,1635
3,4,175,54.70412,12.3658,0.1502,-3.81919,-3.74219,1.1694,0.06051,-3.03834,21.0063,0.7034,1707.74,81528.58,79820.84,1868
4,5,2044,2.20651,18.5033,0.1007,-2.80864,-2.99327,0.96052,0.04557,-2.54468,18.4905,0.974,2009.1,106741.47,104732.37,1968
5,6,3080,4.7002,2.1834,0.0959,-3.76688,-4.20888,1.06691,0.91364,-1.90701,19.3324,0.8679,367.84,846.26,478.42,415
6,7,2957,4.21932,14.7026,0.0409,-3.28276,-3.55831,0.43517,0.11645,-2.51851,19.7439,0.8429,1898.34,44023.24,42124.9,1798
7,8,3048,1.06571,10.4381,0.1477,-3.20746,-3.74324,1.03731,1.36453,-3.01601,18.7742,0.1223,1056.37,22216.36,21159.99,1092
8,9,1668,3.22774,11.9216,0.0176,-3.30159,-3.9317,0.21796,3.56358,-2.84894,20.073,0.8149,1380.05,14820.37,13440.32,1439
9,10,1545,32.77624,12.2341,0.1392,-3.71604,-3.30855,0.7892,0.30685,-2.56184,19.793,0.7746,2197.81,106587.26,104389.45,2325
10,11,298,10.76725,31.8936,0.0766,-3.6256,-3.62073,0.82092,14.18018,-3.25806,19.9112,0.1063,3946.67,827795.74,823849.07,4052
11,12,3025,6.81187,9.6351,0.0275,-2.51227,-2.94864,4.41636,0.03238,-2.32145,20.1575,0.609,1451.58,96162.02,94710.44,1562
12,13,935,12.04497,28.0233,0.0077,-3.6047,-3.98094,0.3155,0.0052,-3.13942,19.5736,0.1327,3674.39,169317.55,165643.17,3806
13,14,2594,31.94466,8.4497,0.1571,-1.93903,-3.89792,37.67434,23.12597,-2.64373,18.5648,0.8424,1556.85,37202.54,35645.69,1606
14,15,2079,40.80432,11.3504,0.9097,-1.87235,-3.64821,0.23612,37.33114,-1.61879,15.6265,0.993,2051.83,5443.15,3391.32,2157
15,16,607,48.30511,26.1735,0.0033,-3.35228,-3.7866,8.34384,17.02219,-2.87729,18.6795,0.3175,3655.47,861543.14,857887.68,3787
16,17,902,59.28689,10.5915,0.3262,-2.04007,-3.51034,15.07292,0.13692,-2.09817,17.2484,0.865,1166.88,3756.26,2589.38,1264
17,18,1624,20.27887,20.5285,0.0614,-3.17741,-3.95643,0.61697,15.62381,-3.14014,19.0618,0.1237,3694.93,123108.28,119413.35,3876
18,19,2048,42.78846,76.6411,0.1457,-3.38159,-4.81462,1.16448,13.59092,-3.30539,16.5795,0.2934,5862.21,142135.22,136273.0,5889
19,20,2119,40.15161,15.1163,0.0862,-3.80562,-3.31392,0.66533,32.68494,-2.63371,17.754,0.78,2706.19,783154.73,780448.54,2872
20,21,1368,11.74331,12.9143,0.1274,-2.90874,-2.95667,2.06946,8.29576,-2.82501,20.4934,0.6271,2127.25,268952.04,266824.8,2342
21,22,946,8.83211,10.831,0.9128,-2.21844,-4.23461,1.82166,0.61964,-2.25942,21.6406,0.7025,1776.56,1782.4,5.84,1868
22,23,1726,12.27367,13.6689,0.3417,-3.50983,-3.39841,0.55826,0.00385,-2.60112,18.0231,0.8843,2397.97,76940.02,74542.05,2464
23,24,2916,5.97827,13.9325,0.3469,-3.73078,-3.401,1.29439,0.02954,-3.16628,20.0159,0.8523,1784.0,5337.9,3553.9,1891
24,25,3135,10.98969,12.2097,0.0141,-3.21459,-3.31297,0.74228,4.9092,-3.02292,21.4288,0.5948,2189.05,253658.19,251469.14,2204
25,26,1762,23.46162,15.2311,0.0559,-4.16586,-4.59936,1.27958,0.70451,-3.26648,18.9028,0.4739,2700.8,54046.09,51345.29,2894
26,27,2664,7.10377,256.0871,0.0456,-2.96795,-3.23775,1.42027,14.6059,-2.89613,18.3719,0.9866,5705.2,2788820.93,2783115.73,5890
27,28,2370,29.39212,31.4949,0.3476,-4.08073,-3.57168,1.07301,13.37707,-2.76922,17.2526,0.7061,5633.82,137147.14,131513.32,5784
28,29,842,16.21869,27.1165,0.4889,-3.20482,-3.55902,0.75428,5.92226,-2.96257,19.7772,0.7644,4159.35,21169.52,17010.17,4116
29,30,2358,40.16951,49.3063,0.2458,-3.69103,-4.34876,0.90579,1.01159,-3.10752,18.911,0.0741,5758.37,8687.86,2929.49,5890
30,31,1094,30.50563,20.1436,0.3962,-4.5841,-3.01367,1.27551,0.68688,-2.93181,20.5349,0.2356,3808.9,4681.11,872.22,3827
31,32,2575,28.91465,36.1067,0.0729,-3.51209,-2.47216,1.36045,0.13468,-2.99448,18.1401,0.3315,5657.66,6615187.11,6609529.45,5889
32,33,2687,29.27979,12.6653,0.0034,-3.47107,-3.71649,0.15228,1.00689,-2.61032,20.0171,0.4208,2397.82,41119.74,38721.92,2407
33,34,137,60.51932,5.9276,0.1181,-3.28012,-3.07525,0.78887,5.07999,-2.52041,20.5121,0.8738,679.46,67474.11,66794.65,704
34,35,1458,33.88539,8.3275,0.0199,-3.16724,-3.49811,1.76596,4.21165,-2.51084,19.2891,0.892,1576.35,51015.42,49439.07,1582
35,36,529,54.74011,9.9021,0.1886,-2.74896,-4.01926,0.70323,0.04463,-2.65829,19.8931,0.8508,1647.14,6467.53,4820.39,1631
36,37,2529,18.95007,15.1712,0.461,-3.36445,-2.4624,1.20883,0.99647,-2.42166,18.3579,0.9458,2761.19,19311.55,16550.36,2883
37,38,2489,15.3695,44.6197,0.1988,-3.64248,-3.66327,0.94388,0.1019,-2.58554,19.5994,0.9495,5446.36,33033.45,27587.09,5698
38,39,1801,38.99219,46.153,0.2749,-3.74384,-4.40233,1.15144,0.07014,-2.68664,19.4463,0.9695,5744.09,880820.84,875076.75,5889
39,40,2397,32.71627,65.0677,0.4773,-3.60203,-4.31903,0.69352,1.31426,-2.71294,18.3605,0.4175,5822.35,9094.42,3272.07,5890
40,41,3027,10.4523,50.9694,0.516,-2.11696,-2.03971,1.12099,0.08967,-3.19132,16.6829,0.96,5716.55,184927.99,179211.44,5834
41,42,2152,16.22733,19.1536,0.2924,-4.13209,-4.66763,0.89172,0.18799,-2.83215,18.1352,0.719,3254.84,54820.82,51565.98,3361
